,id,app-id,app,module,function,hexagon-blocks,hexagon-ins,hexagon-ins-per-block,hexagon-max-ins-in-block,hexagon-copy-ins-percent,hexagon-call-ins-percent,hexagon-remat-ins-percent,hexagon-weighted-ins-per-bundle,hexagon-temps,hexagon-spilled-temps-percent,hexagon-temp-width-cv,hexagon-regclasses,arm-blocks,arm-ins,arm-ins-per-block,arm-max-ins-in-block,arm-copy-ins-percent,arm-call-ins-percent,arm-remat-ins-percent,arm-weighted-ins-per-bundle,arm-temps,arm-spilled-temps-percent,arm-temp-width-cv,arm-regclasses,mips-blocks,mips-ins,mips-ins-per-block,mips-max-ins-in-block,mips-copy-ins-percent,mips-call-ins-percent,mips-remat-ins-percent,mips-weighted-ins-per-bundle,mips-temps,mips-spilled-temps-percent,mips-temp-width-cv,mips-regclasses,ins-avg,ins-std,ins-per-block-mean,ins-per-block-std,spilled-temps-percent-mean,spilled-temps-percent-std,call-ins-percent-mean,call-ins-percent-std,min-ins,max-ins,max-ins-in-block
205,g721.g72x.reconstruct,3,g721,g72x,reconstruct,4,24,6.0,10,0.1666666667,0.0,0.0,1.326531,24,0.0,0.0,2,4,24,6.0,10,0.2916666667,0.0,0.0,1.0,20,0.0,0.0,3,4,24,6.0,10,0.1666666667,0.0,0.0,1.0,23,0.0,0.0,1,24.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,24,24,10
463,g721.g72x.tandem_adjust_ulaw,3,g721,g72x,tandem_adjust_ulaw,9,65,7.2222222222,35,0.2461538462,0.0461538462,0.0,2.004121,137,0.0,0.0,2,9,69,7.666666666699999,37,0.2753623188,0.043478260899999996,0.0,1.0,63,0.0,0.0,3,9,75,8.3333333333,45,0.2666666667,0.04,0.0,1.0,80,0.0,0.0,1,69.6666666667,4.1096093353,7.7288968223,0.45662325950000004,0.0,0.0,0.0432076593,0.0025194108,65,75,45
1141,g721.g711.alaw2linear,3,g721,g711,alaw2linear,6,23,3.8333333332999997,7,0.0869565217,0.0,0.0,1.545455,23,0.0,0.0,2,6,26,4.3333333333,8,0.1923076923,0.0,0.0,1.0,19,0.0,0.0,2,6,23,3.8333333332999997,8,0.0869565217,0.0,0.0,1.0,22,0.0,0.0,1,24.0,1.4142135624,3.9945619889999997,0.2357022604,0.0,0.0,0.0,0.0,23,26,8
1898,g721.g721.g721_decoder,3,g721,g721,g721_decoder,6,88,14.666666666700001,62,0.375,0.0795454545,0.0684931507,1.810284,204,0.0,0.0,2,8,113,14.125,69,0.34513274340000005,0.061946902699999994,0.010989011000000002,1.0,110,0.0,0.0,3,7,135,19.2857142857,87,0.3481481481,0.0518518519,0.0089285714,1.0,140,0.0,0.0,1,112.0,19.2006944319,15.8766961084,2.3156946552,0.0,0.0,0.0643866951,0.011443361499999999,88,135,87
2096,g721.g711.ulaw2linear,3,g721,g711,ulaw2linear,1,14,14.0,14,0.14285714289999998,0.0,0.0,2.0,14,0.0,0.0,2,1,11,11.0,11,0.1818181818,0.0,0.0,1.0,10,0.0,0.0,1,1,14,14.0,14,0.14285714289999998,0.0,0.0,1.0,13,0.0,0.0,1,13.0,1.4142135624,12.924766500799999,1.4142135624,0.0,0.0,0.0,0.0,11,14,14
3340,g721.g72x.predictor_pole,3,g721,g72x,predictor_pole,1,22,22.0,22,0.3636363636,0.0909090909,0.0,2.5,70,0.0,0.0,1,1,22,22.0,22,0.3636363636,0.0909090909,0.0,1.0,25,0.0,0.0,3,1,28,28.0,28,0.3928571429,0.0714285714,0.0,1.0,31,0.0,0.0,1,24.0,2.8284271247,23.8476062669,2.8284271247,0.0,0.0,0.0843765445,0.009183205,22,28,28
3733,g721.g711.linear2ulaw,3,g721,g711,linear2ulaw,11,50,4.5454545455,10,0.04,0.0,0.0,1.875398,50,0.0,0.0,2,21,63,3.0,7,0.1904761905,0.0,0.0,1.0,44,0.0,0.0,2,11,54,4.909090909100001,12,0.037037037,0.0,0.0,1.0,53,0.0,0.0,1,55.6666666667,5.4365021434,4.0797141138,0.8276666839,0.0,0.0,0.0,0.0,50,63,12
4787,g721.g72x.tandem_adjust_alaw,3,g721,g72x,tandem_adjust_alaw,13,86,6.6153846154,36,0.1860465116,0.0348837209,0.0,1.764881,158,0.0,0.0,2,17,92,5.4117647059000005,38,0.25,0.032608695699999996,0.0,1.0,78,0.0,0.0,3,13,89,6.8461538461,47,0.22471910109999998,0.0337078652,0.0,1.0,94,0.0,0.0,1,89.0,2.4494897428,6.2628779507,0.6288815053,0.0,0.0,0.0337330099,0.000928951,86,92,47
5489,g721.g711.ulaw2alaw,3,g721,g711,ulaw2alaw,4,22,5.5,7,0.0909090909,0.0,0.0,1.733333,22,0.0,0.0,2,4,21,5.25,7,0.1904761905,0.0,0.0,1.0,17,0.0,0.0,3,4,22,5.5,7,0.0909090909,0.0,0.0,1.0,21,0.0,0.0,1,21.6666666667,0.4714045208,5.4155748597,0.1178511302,0.0,0.0,0.0,0.0,21,22,7
6040,g721.g72x.predictor_zero,3,g721,g72x,predictor_zero,1,61,61.0,61,0.3278688525,0.09836065570000001,0.0,2.294118,205,0.0,0.0,1,1,62,62.0,62,0.3225806452,0.0967741935,0.0,1.0,73,0.0,0.0,3,1,77,77.0,77,0.3506493506,0.0779220779,0.0,1.0,88,0.0,0.0,1,66.6666666667,7.3181661334,66.2887220971,7.3181661334,0.0,0.0,0.0909793223,0.009283525400000001,61,77,77
