,id,app-id,app,module,function,hexagon-blocks,hexagon-ins,hexagon-ins-per-block,hexagon-max-ins-in-block,hexagon-copy-ins-percent,hexagon-call-ins-percent,hexagon-remat-ins-percent,hexagon-weighted-ins-per-bundle,hexagon-temps,hexagon-spilled-temps-percent,hexagon-temp-width-cv,hexagon-regclasses,arm-blocks,arm-ins,arm-ins-per-block,arm-max-ins-in-block,arm-copy-ins-percent,arm-call-ins-percent,arm-remat-ins-percent,arm-weighted-ins-per-bundle,arm-temps,arm-spilled-temps-percent,arm-temp-width-cv,arm-regclasses,mips-blocks,mips-ins,mips-ins-per-block,mips-max-ins-in-block,mips-copy-ins-percent,mips-call-ins-percent,mips-remat-ins-percent,mips-weighted-ins-per-bundle,mips-temps,mips-spilled-temps-percent,mips-temp-width-cv,mips-regclasses,ins-avg,ins-std,ins-per-block-mean,ins-per-block-std,spilled-temps-percent-mean,spilled-temps-percent-std,call-ins-percent-mean,call-ins-percent-std,min-ins,max-ins,max-ins-in-block
211,rasta.io.open_out,19,rasta,io,open_out,8,49,6.125,15,0.1836734694,0.061224489800000004,0.075,1.925,120,0.0,0.0,2,10,54,5.4,15,0.22222222219999999,0.055555555599999994,0.0238095238,1.0,47,0.0,0.0,3,8,58,7.25,21,0.275862069,0.0517241379,0.022222222200000002,1.0,62,0.0,0.0,1,53.6666666667,3.6817870057,6.218931659,0.7611212489,0.0,0.0,0.056160855,0.0039026097,49,58,21
10319,mesa.dlist.gl_save_PolygonMode,14,mesa,dlist,gl_save_PolygonMode,11,71,6.454545454500001,11,0.2112676056,0.0563380282,0.1129032258,2.115369,134,0.0,0.0,2,11,79,7.1818181818,11,0.253164557,0.050632911399999994,0.0461538462,1.0,62,0.0,0.0,3,11,89,8.0909090909,15,0.2808988764,0.0449438202,0.0410958904,1.0,85,0.0,0.0,1,79.6666666667,7.3635740115,7.215350598200001,0.6694158192,0.0,0.0,0.050627955700000005,0.0046516675,71,89,15
5109,mesa.dlist.gl_save_MapGrid1f,14,mesa,dlist,gl_save_MapGrid1f,11,74,6.7272727273,11,0.2297297297,0.0540540541,0.10769230769999999,2.075196,136,0.0,0.0,2,11,86,7.8181818182,11,0.2790697674,0.0465116279,0.042253521100000004,1.0,68,0.0192307692,0.0,4,11,96,8.7272727273,15,0.3020833333,0.0416666667,0.0384615385,1.0,91,0.0,0.0,2,85.3333333333,8.993825042200001,7.7189755686,0.8176204584000001,0.0063695984999999995,0.0090654715,0.0473983917,0.0050969404,74,96,15
10365,jpeg.jcmainct.start_pass_main,10,jpeg,jcmainct,start_pass_main,5,25,5.0,8,0.12,0.04,0.0,1.422695,43,0.0,0.0,2,5,25,5.0,9,0.12,0.04,0.0,1.0,12,0.0,0.0,4,5,26,5.2,9,0.1538461538,0.0384615385,0.0,1.0,20,0.0,0.0,1,25.3333333333,0.4714045208,5.0659393457999995,0.0942809042,0.0,0.0,0.039486926400000004,0.0007252377,25,26,9
8239,mpeg2.readpic.pbm_getint,16,mpeg2,readpic,pbm_getint,12,66,5.5,12,0.1515151515,0.0606060606,0.0,1.675052,162,0.0,0.0,2,12,73,6.083333333300001,15,0.21917808219999999,0.0547945205,0.0,0.992814,65,0.0,0.0,3,12,86,7.166666666699999,18,0.22093023260000003,0.0465116279,0.0,1.0,93,0.0,0.0,1,75.0,8.2865352631,6.2176965949000005,0.6905446053000001,0.0,0.0,0.0539548562,0.0057834375,66,86,18
2899,mesa.api.glDepthMask,14,mesa,api,glDepthMask,5,31,6.2,9,0.2903225806,0.0967741935,0.1666666667,1.398496,78,0.0,0.0,2,5,31,6.2,10,0.3225806452,0.0967741935,0.0909090909,1.0,26,0.0,0.0,4,5,42,8.4,16,0.3571428571,0.0714285714,0.064516129,1.0,46,0.0,0.0,1,34.6666666667,5.1854497287,6.8692066234,1.0370899457,0.0,0.0,0.08825972439999999,0.0119480408,31,42,16
3665,ghostscript.gxcmap.gx_concretize_DeviceCMYK,5,ghostscript,gxcmap,gx_concretize_DeviceCMYK,13,195,15.0,19,0.3435897436,0.1230769231,0.0705128205,1.942708,767,0.0,0.572598,3,21,101,4.8095238095,8,0.18811881190000002,0.0,0.012195122,1.0,80,0.0,0.563436,4,13,93,7.1538461539,9,0.0322580645,0.0,0.034090909100000004,1.0,88,0.0,0.563436,3,129.6666666667,46.3129451546,8.117470018099999,4.357672447300001,0.0,0.0,0.0394489571,0.058019018,93,195,19
2729,mesa.api.glResizeBuffersMESA,14,mesa,api,glResizeBuffersMESA,5,29,5.8,9,0.2413793103,0.1034482759,0.1818181818,1.310777,76,0.0,0.0,2,5,28,5.6,10,0.25,0.1071428571,0.0952380952,1.0,23,0.0,0.0,4,5,39,7.8,16,0.3076923077,0.0769230769,0.06896551719999999,1.0,43,0.0,0.0,1,32.0,4.9665548086,6.3368871663999995,0.9933109617,0.0,0.0,0.09575495220000001,0.013459698,28,39,16
8284,mesa.api.glTexGendv,14,mesa,api,glTexGendv,5,67,13.4,38,0.3134328358,0.10447761189999999,0.09433962259999999,1.704636,231,0.0,0.417029,3,5,52,10.4,21,0.25,0.057692307699999994,0.0476190476,1.0,47,0.0,0.426401,5,5,58,11.6,22,0.31034482760000004,0.0517241379,0.043478260899999996,1.0,58,0.0,0.4,3,59.0,6.164414002999999,11.741267376700002,1.2328828006,0.0,0.0,0.0710408486,0.023587691600000002,52,67,38
5489,g721.g711.ulaw2alaw,3,g721,g711,ulaw2alaw,4,22,5.5,7,0.0909090909,0.0,0.0,1.733333,22,0.0,0.0,2,4,21,5.25,7,0.1904761905,0.0,0.0,1.0,17,0.0,0.0,3,4,22,5.5,7,0.0909090909,0.0,0.0,1.0,21,0.0,0.0,1,21.6666666667,0.4714045208,5.4155748597,0.1178511302,0.0,0.0,0.0,0.0,21,22,7
6524,rasta.fft.FR2TR,19,rasta,fft,FR2TR,11,473,43.0,265,0.32346723039999997,0.1057082452,0.0,2.337158,1625,0.0,0.0,2,4,23,5.75,17,0.2608695652,0.0,0.0,0.972125,18,0.0,0.0,3,4,19,4.75,14,0.1578947368,0.0,0.0,0.972125,16,0.0,0.0,2,171.6666666667,213.08110088779998,10.952940693,17.8002028703,0.0,0.0,0.034062644100000004,0.049831344699999995,19,473,265
4502,jpeg.jquant1.quantize3_ord_dither,10,jpeg,jquant1,quantize3_ord_dither,12,157,13.083333333299999,71,0.044585987300000005,0.0,0.0,2.361609,160,0.0,0.0,2,7,70,10.0,32,0.1714285714,0.0,0.0,1.0,61,0.15517241380000002,0.0,3,7,71,10.142857142899999,37,0.0563380282,0.0,0.0,1.0,68,0.0,0.0,1,99.3333333333,40.7785346584,10.9958649774,1.4210228254,0.049257953,0.0731489774,0.0,0.0,70,157,71
5802,mesa.context.gl_problem,14,mesa,context,gl_problem,1,19,19.0,19,0.42105263159999995,0.10526315789999999,0.3333333333,1.833333,41,0.0,0.0,1,1,19,19.0,19,0.42105263159999995,0.10526315789999999,0.1666666667,1.0,20,0.0,0.0,2,1,29,29.0,29,0.41379310340000003,0.06896551719999999,0.0952380952,1.0,32,0.0,0.0,1,22.3333333333,4.7140452079,21.8942848511,4.7140452079,0.0,0.0,0.09302902460000001,0.017110871899999998,19,29,29
4529,mesa.api.glColor3ubv,14,mesa,api,glColor3ubv,1,16,16.0,16,0.375,0.0625,0.0909090909,1.666667,40,0.0,0.0,1,1,18,18.0,18,0.3333333333,0.055555555599999994,0.0,1.0,17,0.0,0.0,3,1,20,20.0,20,0.35,0.05,0.0,1.0,19,0.0,0.0,1,18.0,1.6329931619,17.929563765,1.6329931619,0.0,0.0,0.0560061429,0.0051135931,16,20,20
8797,mesa.api.glTexCoord4sv,14,mesa,api,glTexCoord4sv,1,36,36.0,36,0.3888888889,0.1388888889,0.0,2.230769,156,0.0,0.0,1,1,29,29.0,29,0.3448275862,0.034482758599999996,0.0,1.0,28,0.0,0.0,4,1,27,27.0,27,0.2592592593,0.037037037,0.0,1.0,26,0.0,0.0,2,30.6666666667,3.8586123009,30.440805941199997,3.8586123009,0.0,0.0,0.0690539602,0.0486266549,27,36,36
