,id,app-id,app,module,function,hexagon-blocks,hexagon-ins,hexagon-ins-per-block,hexagon-max-ins-in-block,hexagon-copy-ins-percent,hexagon-call-ins-percent,hexagon-remat-ins-percent,hexagon-weighted-ins-per-bundle,hexagon-temps,hexagon-spilled-temps-percent,hexagon-temp-width-cv,hexagon-regclasses,arm-blocks,arm-ins,arm-ins-per-block,arm-max-ins-in-block,arm-copy-ins-percent,arm-call-ins-percent,arm-remat-ins-percent,arm-weighted-ins-per-bundle,arm-temps,arm-spilled-temps-percent,arm-temp-width-cv,arm-regclasses,mips-blocks,mips-ins,mips-ins-per-block,mips-max-ins-in-block,mips-copy-ins-percent,mips-call-ins-percent,mips-remat-ins-percent,mips-weighted-ins-per-bundle,mips-temps,mips-spilled-temps-percent,mips-temp-width-cv,mips-regclasses,ins-avg,ins-std,ins-per-block-mean,ins-per-block-std,spilled-temps-percent-mean,spilled-temps-percent-std,call-ins-percent-mean,call-ins-percent-std,min-ins,max-ins,max-ins-in-block
7679,jpeg.jquant1.start_pass_1_quant,10,jpeg,jquant1,start_pass_1_quant,43,269,6.255813953500001,17,0.14126394050000002,0.0483271375,0.0386266094,1.795808,571,0.0,0.0,2,35,234,6.6857142857000005,17,0.20512820510000002,0.029914529900000004,0.0150753769,1.0,192,0.0533333333,0.0,4,34,215,6.323529411799999,19,0.1023255814,0.023255814,0.0211640212,1.0,207,0.0,0.127,2,239.3333333333,22.365648263,6.4193114326,0.1887318974,0.0174707724,0.0251415744,0.033778299500000004,0.010603636100000001,215,269,19
92,mpeg2.systems.Flush_Buffer32,16,mpeg2,systems,Flush_Buffer32,37,265,7.1621621622000005,14,0.0037735849,0.041509434,0.0,1.809445,508,0.0,0.0,2,16,104,6.5,17,0.1057692308,0.0288461538,0.0,1.0,82,0.0,0.0,3,16,110,6.875,15,0.06363636360000001,0.0272727273,0.0,1.0,108,0.0,0.0,1,159.6666666667,74.5221816344,6.8410161479,0.27111822690000004,0.0,0.0,0.0325231594,0.006372843,104,265,17
4413,ghostscript.gximage1.copy_portrait,5,ghostscript,gximage1,copy_portrait,12,114,9.5,24,0.2894736842,0.026315789500000002,0.02,2.15365,173,0.0,0.0,2,15,126,8.4,29,0.2698412698,0.0238095238,0.0,1.0,94,0.0375,0.0,3,13,115,8.8461538462,24,0.2956521739,0.026086956499999998,0.0,1.0,101,0.0,0.0,1,118.3333333333,5.4365021434,8.9051545603,0.45173345719999997,0.012346926000000001,0.0176776695,0.0254034655,0.0011313921,114,126,29
1216,ghostscript.gscoord.gs_currentcharmatrix,5,ghostscript,gscoord,gs_currentcharmatrix,15,171,11.4,62,0.2573099415,0.0877192982,0.0514705882,1.895057,511,0.0,0.286299,3,8,36,4.5,12,0.3055555556,0.027777777799999997,0.0,1.0,36,0.0,0.0,3,16,110,6.875,22,0.1,0.0090909091,0.0,1.0,91,0.0,0.298807,3,105.6666666667,55.198631223,7.1285231269,2.862133043,0.0,0.0,0.0409953356,0.0335403712,36,171,62
9320,mesa.stencil.apply_stencil_op_to_span,14,mesa,stencil,apply_stencil_op_to_span,287,1388,4.8362369337999995,21,0.0115273775,0.0007204611,0.0,1.528435,1320,0.0,0.0,2,65,313,4.8153846154,16,0.1469648562,0.0031948882,0.0,1.0,223,0.0,0.0,3,65,267,4.1076923077,19,0.0337078652,0.0037453184000000002,0.0,1.0,276,0.0,0.0,1,656.0,517.9427252762999,4.575862149700001,0.33863131280000003,0.0,0.0,0.0025526923,0.0013155279999999998,267,1388,21
7887,mpeg2.subspic.Read_Frame,16,mpeg2,subspic,Read_Frame,71,733,10.323943662000001,40,0.1064120055,0.035470668500000004,0.04,2.208056,1290,0.0007763975,0.0,2,48,472,9.8333333333,40,0.2669491525,0.0550847458,0.0257069409,1.0,463,0.0132275132,0.0,3,48,489,10.1875,50,0.2597137014,0.0531697342,0.0218446602,1.0,559,0.0,0.0,1,564.6666666666999,119.2318003815,10.1129907162,0.2067605688,0.0046497399,0.006060804699999999,0.0478710412,0.0088294723,472,733,50
9848,ghostscript.gximage1.image_render_landscape,5,ghostscript,gximage1,image_render_landscape,25,208,8.32,26,0.3365384615,0.0625,0.0327868852,2.065434,513,0.008080808100000001,0.0,2,25,201,8.04,24,0.3333333333,0.039800995,0.017341040500000002,1.0,168,0.0676691729,0.0,4,25,202,8.08,26,0.37128712869999997,0.0396039604,0.011428571399999999,1.0,213,0.0446927374,0.0,2,203.6666666667,3.0912061652,8.145835739299999,0.1236482466,0.0398568137,0.024538231299999998,0.0472467732,0.0107471561,201,208,26
9989,pgp.keymaint.show_key,18,pgp,keymaint,show_key,71,646,9.0985915493,50,0.253869969,0.09442724460000002,0.13079470199999998,1.977923,2086,0.0072850898,0.0,2,72,669,9.2916666667,54,0.2795216741,0.091180867,0.0517241379,1.0,675,0.064516129,0.0,3,71,809,11.3943661972,63,0.3423980222,0.0754017305,0.0456989247,1.0,910,0.0455104551,0.0,1,708.0,72.0324001174,9.8807027836,1.0397224283,0.0388296672,0.023799593900000002,0.0869714146,0.0083099024,646,809,63
10,mesa.draw.gl_render_vb,14,mesa,draw,gl_render_vb,164,2206,13.4512195122,305,0.2012692656,0.0530371714,0.0187178287,1.896093,4749,0.0074404762,0.0,2,148,2223,15.0202702703,229,0.1439496176,0.0206927575,0.0109263658,1.0,1765,0.0272783633,0.0,4,155,2398,15.470967741900001,248,0.1150959133,0.0183486239,0.0116429495,1.0,2161,0.0270004909,0.0,2,2275.6666666667,86.7806942176,14.6230018573,0.8656681045,0.0205306736,0.0092868674,0.0305721577,0.015828776200000002,2206,2398,305
8281,epic.edges.ereflect,2,epic,edges,ereflect,45,1364,30.3111111111,296,0.36436950149999997,0.137829912,0.0008960573,1.910973,5869,0.0022939826999999998,0.589338,3,38,234,6.157894736799999,16,0.1965811966,0.0128205128,0.0106951872,1.0,200,0.0479452055,0.39289,5,32,210,6.5625,23,0.1047619048,0.014285714299999999,0.0050505051,1.0,222,0.0247524752,0.419591,3,602.6666666666999,538.4331176871,10.9229317552,11.2917772263,0.0248277848,0.0186378372,0.0533920781,0.0585876983,210,1364,296
