,\tiny{$=$0},\tiny{$\le$10},\tiny{$\le$40},\tiny{$\le$100},\tiny{num},\tiny{$=$0},\tiny{$\le$10},\tiny{$\le$40},\tiny{$\le$100},\tiny{num},\tiny{$=$0},\tiny{$\le$10},\tiny{$\le$40},\tiny{$\le$100},\tiny{num},\tiny{$=$0},\tiny{$\le$10},\tiny{$\le$40},\tiny{$\le$100},\tiny{num}
b1,-,-,-,-,-,-,-,-,-,-,\textbf{84},3,3,10,26,\textbf{94},4,2,1,200
b2,-,-,\textbf{69},31,9,\textbf{60},12,23,4,200,\textbf{76},11,12,1,200,\textbf{81},9,10,-,200
b3,\textbf{66},15,18,1,200,\textbf{71},14,15,1,200,\textbf{73},13,13,1,200,\textbf{77},14,9,-,200
b4,\textbf{94},6,-,-,200,\textbf{96},4,-,-,200,\textbf{96},4,-,-,200,\textbf{98},2,-,-,200
b5,\textbf{90},1,9,-,200,\textbf{93},2,5,-,200,\textbf{95},2,3,-,200,\textbf{95},3,2,-,200
b6,\textbf{88},5,7,1,200,\textbf{89},5,6,-,200,\textbf{90},4,6,-,200,\textbf{91},4,5,-,200
b7,\textbf{48},1,\textbf{48},3,200,\textbf{74},5,21,1,200,\textbf{83},6,11,-,200,\textbf{89},6,5,-,200
b8,\textbf{46},-,\textbf{51},3,200,\textbf{57},4,36,2,200,\textbf{74},3,21,1,200,\textbf{81},4,14,1,200
b9,42,-,\textbf{56},2,200,\textbf{66},9,24,1,200,\textbf{73},8,18,-,200,\textbf{83},7,9,-,200
b10,\textbf{47},-,\textbf{50},3,200,\textbf{65},2,30,2,200,\textbf{73},4,22,1,200,\textbf{82},5,13,1,200
b11,38,-,\textbf{61},1,4,\textbf{66},3,31,-,200,\textbf{68},9,23,-,200,\textbf{83},7,10,-,200
b12,\textbf{94},-,5,1,10,\textbf{99},1,-,-,200,\textbf{99},-,-,-,200,\textbf{99},1,-,-,200
b13,\textbf{43},9,34,14,4,\textbf{69},20,11,-,194,\textbf{69},21,10,-,200,\textbf{71},19,10,-,200
b14,-,-,\textbf{78},22,24,\textbf{60},23,17,-,200,\textbf{63},22,15,-,200,\textbf{70},19,11,-,200
b15,41,\textbf{53},5,-,8,\textbf{97},2,1,-,200,\textbf{98},1,1,-,200,\textbf{98},1,1,-,200
b16,\textbf{64},28,6,-,44,\textbf{76},21,2,-,200,\textbf{82},17,1,-,200,\textbf{90},9,1,-,200
b17,33,\textbf{66},1,-,200,\textbf{61},39,-,-,200,\textbf{75},25,-,-,200,\textbf{87},13,-,-,200
